,op_name,start_date,end_date,location_1,location_2,location_3,location_4
121,Operation Iron Mountain,1969-02-28,1971-02-28,Quang Ngai,,,
122,Operation Irving,1966-10-01,1966-10-24,Binh Dinh,,,
123,Operation James Bond,1966-07-04,1966-07-04,Binh Dinh,,,
124,Operation Jeb Stuart III,1968-05-17,1968-11-03,Quang Tri,Thua Thien,,
125,Operation Jeb Stuart,1968-01-21,1968-03-31,Quang Tri,Thua Thien,,
126,Operation Jim Bowie,1966-03-07,1966-03-28,Binh Dinh,,,
127,Operation John Paul Jones,1966-07-21,1966-09-05,Khanh Hoa,Phu Bon,Phu Yen,
128,Operation Junction City,1967-02-21,1967-05-14,War Zone C,Tay Ninh,,
129,Operation Kahala,1966-04-16,1966-04-26,Hau Nghia,,,
130,Operation Kahuku,1966-04-06,1966-04-08,Ho Chi Minh City,,,
131,Operation Kailua,1966-10-11,1966-11-14,Hau Nghia,,,
132,Operation Kalihi,1966-09-15,1966-11-14,Unknown,,,
133,Operation Kamuela,1966-09-19,1966-10-04,Hau Nghia,,,
134,Operation Katum,1971-09-27,1971-10-02,Tay Ninh,,,
135,Operation Kawela,1967-06-10,1967-06-25,Bihn Duong,,,
136,Operation Keystone Blue Jay,1970-02-01,1970-04-15,binh duong,,,
137,Operation Kien Giang,1967-11-16,1967-11-24,Dinh Truong,,,
138,Operation Kipapa,1966-08-31,1966-09-12,Hau Nghia,,,
139,Operation Kolekole,1967-05-13,1967-12-07,Hau Nghia,Tay Ninh,Binh Duong,
140,Operation Lahaina,1966-08-07,1966-09-01,Hau Nghia,,,
141,Operation Lake,1967-07-06,1967-07-12,Quang Ngai,,,
142,Operation Lanikai,1966-08-14,1967-02-13,Long An,,,
143,Operation Lexington,1966-04-17,1966-05-04,Bien Hoa,,,
144,Operation Linebacker II,1972-12-18,1972-12-29,Hanoi,,,
145,Operation Linebacker,1971-05-01,1972-10-23,Hanoi,,,
146,Operation Long Reach,1965-10-24,1965-11-16,Pleiku,,,
147,Operation Longfellow,1966-04-13,1966-05-01,Kon tum,,,
148,Operation Longview,1966-09-23,1966-10-01,Bihn Duong,,,
149,Operation Lulu,1969-03-12,1969-03-14,Kien Giang,,,
150,Operation MacArthur,1967-10-11,1969-01-31,Binh Dinh,Pleiku,Kon Tum,
151,Operation Macon,1966-07-04,1966-10-28,Quang Nam,Thua Thien,,
152,Operation Manchester,1967-12-17,1968-02-17,Bien Hoa,Binh Duong,Long Khanh,Phuoc Long
153,Operation Manhattan,1967-04-23,1967-06-07,Binh Duong,,,
154,Operation Market Time,1965-03-11,1973-03-01,Southern Coast,,,
155,Operation Masher,1966-01-24,1966-03-06,Binh Dinh,,,
156,Operation Mastiff,1966-02-21,1966-02-27,Binh Duong,Binh Long,Tay Ninh,
157,Operation Meade River,1968-11-20,1968-12-09,Quang Nam,,,
158,Operation Medina,1967-10-10,1967-10-20,Quang Tri,,,
159,Operation Mokuliea,1966-07-14,1966-07-22,Binh Duong,Hau Nghia,,
160,Operation Montana Raider,1969-04-12,1969-05-14,War Zone C,War Zone D,,
161,Operation Muscatine,1967-12-18,1968-06-10,Quang Ngai,,,
162,Operation Nathan Hale,1966-06-20,1966-07-02,Phu Yen,,,
163,Operation Nevada Eagle,1968-05-17,1969-02-28,Thua Thien,,,
164,Operation New Castle,1967-03-21,1967-03-25,Quang Nam,,,
165,Operation Norton Falls,1969-09-29,1969-11-08,Quang Tri,Thua Thien,,
166,Operation Oahu,1966-08-01,1966-08-31,Tay Ninh,,,
167,Operation Ohio Rapids,1969-01-24,1969-02-28,Thua Thien,,,
168,Operation Orange,1966-04-01,1966-04-11,Quang Nam,,,
169,Operation Osage,1966-04-27,1966-05-02,Thua Thien,,,
170,Operation Paddington,1967-07-06,1967-07-14,Phuoc Tuy,,,
171,Operation Palm Beach II,1967-05-01,1967-05-31,Long An,Dinh Tuong,,
172,Operation Palm Beach,1967-01-06,1967-06-01,Ding Tuong,,,
173,Operation Paul Bunyan,1967-07-19,1967-09-11,Unknown,,,
174,Operation Paul Revere IV,1966-10-18,1966-12-31,Pleiku,,,
175,Operation Pegasus,1968-04-01,1968-04-15,Quang Tri,,,
176,Operation Peoples Road,1968-03-17,1968-05-21,Dinh Tuong,,,
177,Operation Pershing I,1967-02-11,1968-01-19,Binh Dinh,Quang Ngai,,
178,Operation Pershing II,1968-01-20,1968-03-01,Binh Dinh,Quang Ngai,,
179,Operation Pershing,1967-03-18,1967-04-01,Hoa An,,,
180,Operation Pickett,1966-12-06,1967-01-19,Kon tum,,,
181,Operation Piranha,1965-09-01,1965-09-01,Quang Ngai,,,
182,Operation Pittsburg,1967-02-25,1967-03-02,Unknown,,,
183,Operation Pocahontas Forest,1968-07-05,1968-08-03,Quang Nam,Quang Tri,,
184,Operation Pocket Money,1972-05-09,1973-01-14,Northern Coast,,,
185,Operation Portsea,1967-03-20,1967-04-17,Phuoc Tuy,,,
186,Operation Prairie,1966-08-03,1967-01-31,Quang Tri,,,
187,Operation Quick Kick II,1966-01-11,1966-01-14,Binh Duong,,,
188,Operation Quick Kick IV,1966-02-03,1966-02-09,Binh Duong,,,
189,Operation Quicksilver,1967-12-04,1967-12-21,Binh Duong,,,
190,Operation Quyet Thang,1968-03-10,1968-04-08,Ho Chi Minh City,Long An,Hau Nghia,
191,Operation Randolph Glen,1968-12-07,1970-03-31,Thua Thien,Quang Tin,,
192,Operation Ransom Raider,1969-11-24,1969-11-28,Long Khanh,,,
193,Operation Riley,1967-07-03,1968-04-07,Bien Hoa,Long Khanh,,
194,Operation Road Runner,1965-11-10,1965-11-15,Binh Duong,,,
195,Operation Rocket,1967-06-05,1967-06-07,Bien Hoa,,,
196,Operation Rolling Thunder,1965-02-24,1968-10-31,Ho Chi Minh City,,,
197,Operation Sam Houston,1967-01-01,1967-04-05,Pleiku,Kon Tum,,
198,Operation San Angelo,1968-01-15,1968-02-09,Quang Duc,Phuoc Long,,
199,Operation Santa Fe,1967-11-02,1968-01-05,Long Khanh,Binh Tuy,,
200,Operation Saratoga,1967-12-07,1968-03-11,Binh Duong,Gia Dinh,Hau Nghia,Tay Ninh
201,Operation Sayonara,1965-09-28,1965-11-13,Binh Dinh,,,
202,Operation Scalping Mustang,1965-12-17,1965-12-20,Binh Dinh,,,
203,Operation Sea Dragon,1966-10-25,1968-10-31,Northern Coast,,,
204,Operation Seward,1966-09-04,1966-10-25,Phu Yen,,,
205,Operation Shenandoah II,1967-09-27,1967-11-19,Binh Duong,Binh Long,Loc Ninh,
206,Operation Shenandoah,1966-10-16,1966-11-02,Binh Duong,,,
207,Operation Sherwood Forest,1964-04-06,1965-03-31,Tay Ninh,,,
208,Operation Silver Bayonet,1965-10-19,1965-11-28,Pleiku,,,
209,Operation Silver City,1966-03-07,1966-03-23,War Zone D,Bien Hoa,Binh Duong,Long Khanh
210,Operation Sioux City,1966-09-25,1966-10-09,Bien Hoa,,,
211,Operation Speedy Express,1968-12-01,1969-05-31,Dinh Tuong,Kien Hoa,,
212,Operation Starlight,1965-08-18,1965-08-21,Quang Tin,Quang Ngai,,
213,Operation Sullivan,1968-09-13,1968-09-13,Quang Tri,,,
214,Operation Sunset Beach,1966-09-01,1966-10-11,Hau Nghia,,,
215,Operation Take Out,1965-12-28,1965-12-30,Binh Thuan,,,
216,Operation Tat Thang 18,1970-04-03,1970-05-03,Kon tum,,,
217,Operation Texas Traveler,1969-11-24,1969-11-27,War Zone C,,,
218,Operation Thayer I,1966-09-12,1966-10-24,Binh Dinh,,,
219,Operation Thayer II,1966-10-24,1967-02-12,Binh Dinh,,,
220,Operation Tiger Concordia VIII,1967-07-24,1967-07-25,Long An,,,
221,Operation Tiger Coronado III,1967-08-14,1967-08-16,Bien Hoa,,,
222,Operation Tiger Coronado IV,1967-08-25,1967-08-26,Long An,,,
223,Operation Tiger Coronado IX,1967-12-04,1967-12-05,Dinh Tuong,,,
